"LOJA";"CODIGO";"PRODUTO";"DEPARTAMENTO";"QUANTIDADE";"MES"
"5";"444286";" BALOES METALLIC TAM 9 CHUMBO C/25 SAO ROQUE";"FESTA";"1";"2022-11"
"4";"544788";" BORBOLETA OURO C/1 UN";"PRODUTOS DE EPOCAS";"1";"2022-11"
"5";"578493";" COBERTURA P/BOLO CHOCOLATE POUCH 255G ALISPEC";"CONFEITARIA";"6";"2022-11"
"4";"578493";" COBERTURA P/BOLO CHOCOLATE POUCH 255G ALISPEC";"CONFEITARIA";"2";"2022-11"
"5";"529181";" FILM EMB.ALM REFIL 38 CM X 300 M ART LINE";"FESTA";"1";"2022-11"
"5";"529198";" FILM EMB.ALM TRILHO CORTANTE 38 CM X 300 M ART LINE";"FESTA";"1";"2022-11"
"5";"529143";" FILM EMB.ALM TUBETE 28 CM X 15 M ART LINE";"FESTA";"2";"2022-11"
"4";"529143";" FILM EMB.ALM TUBETE 28 CM X 15 M ART LINE";"FESTA";"2";"2022-11"
"5";"564915";" PALITO PONTA REDONDA NATURAL ESCOLAR C/100 THEOTO";"FESTA";"10";"2022-11"
"1";"564915";" PALITO PONTA REDONDA NATURAL ESCOLAR C/100 THEOTO";"FESTA";"9";"2022-11"
"4";"564915";" PALITO PONTA REDONDA NATURAL ESCOLAR C/100 THEOTO";"FESTA";"11";"2022-11"
"7";"564915";" PALITO PONTA REDONDA NATURAL ESCOLAR C/100 THEOTO";"FESTA";"13";"2022-11"
"4";"623940";" SUP GUIRLANDA TRANSPARENTE (SUP GUIRLANDAS) CROMUS";"PRODUTOS DE EPOCAS";"2";"2022-11"
"5";"623940";" SUP GUIRLANDA TRANSPARENTE (SUP GUIRLANDAS) CROMUS";"PRODUTOS DE EPOCAS";"1";"2022-11"
"1";"623940";" SUP GUIRLANDA TRANSPARENTE (SUP GUIRLANDAS) CROMUS";"PRODUTOS DE EPOCAS";"4";"2022-11"
"7";"305013";"ABACAXI EM CALDA RODELAS ZERO 400G SCHRAMM";"CONFEITARIA";"2";"2022-11"
"1";"74100";"ABACAXI EM CALDA RODELAS 400G SCHRAMM";"CONFEITARIA";"5";"2022-11"
"5";"74100";"ABACAXI EM CALDA RODELAS 400G SCHRAMM";"CONFEITARIA";"1";"2022-11"
"4";"74100";"ABACAXI EM CALDA RODELAS 400G SCHRAMM";"CONFEITARIA";"1";"2022-11"
"1";"132169";"ABOBORA BRASILFLEX";"PRODUTOS DE EPOCAS";"3";"2022-11"
"4";"70454";"ACAFRAO EM PO 40G SIAMAR";"MERCEARIA";"3";"2022-11"
"4";"589505";"ACAI + GRANOLAS  220ML TROPIMIX";"BOMBONIERE";"4";"2022-11"
"1";"589505";"ACAI + GRANOLAS  220ML TROPIMIX";"BOMBONIERE";"1";"2022-11"
"5";"589529";"ACAI COM CHOC AVELA + DISQUETES 220ML TROPIMIX";"BOMBONIERE";"9";"2022-11"
"4";"589529";"ACAI COM CHOC AVELA + DISQUETES 220ML TROPIMIX";"BOMBONIERE";"2";"2022-11"
"1";"589529";"ACAI COM CHOC AVELA + DISQUETES 220ML TROPIMIX";"BOMBONIERE";"4";"2022-11"
"7";"589529";"ACAI COM CHOC AVELA + DISQUETES 220ML TROPIMIX";"BOMBONIERE";"9";"2022-11"
"1";"589512";"ACAI COM LEITINHO + DISQUETES  220ML TROPIMIX";"BOMBONIERE";"7";"2022-11"
"4";"589512";"ACAI COM LEITINHO + DISQUETES  220ML TROPIMIX";"BOMBONIERE";"5";"2022-11"
"7";"589512";"ACAI COM LEITINHO + DISQUETES  220ML TROPIMIX";"BOMBONIERE";"1";"2022-11"
"5";"589512";"ACAI COM LEITINHO + DISQUETES  220ML TROPIMIX";"BOMBONIERE";"2";"2022-11"
"5";"456241";"ACAI 2L TROPIMIX";"BOMBONIERE";"1";"2022-11"
"1";"456241";"ACAI 2L TROPIMIX";"BOMBONIERE";"5";"2022-11"
"7";"456265";"ACAI 500G TROPIMIX";"BOMBONIERE";"2";"2022-11"
"1";"456265";"ACAI 500G TROPIMIX";"BOMBONIERE";"8";"2022-11"
"4";"612715";"ACESSORIO CHAPEU OURO CROMUS";"PRODUTOS DE EPOCAS";"17";"2022-11"
"7";"612715";"ACESSORIO CHAPEU OURO CROMUS";"PRODUTOS DE EPOCAS";"10";"2022-11"
"5";"612715";"ACESSORIO CHAPEU OURO CROMUS";"PRODUTOS DE EPOCAS";"14";"2022-11"
"1";"612715";"ACESSORIO CHAPEU OURO CROMUS";"PRODUTOS DE EPOCAS";"7";"2022-11"
"5";"445283";"ACESSORIO HI FLOAT SACO TRANSPORTE ROLO CROMUS";"BALCAO DE DECORACAO";"1";"2022-11"
"1";"616423";"ACESSORIO MINI CHAPEU OURO CROMUS";"FESTA";"1";"2022-11"
"7";"623360";"ACESSORIO OCULOS GAMER OVER BRANCO  C/01 CROMUS";"PRODUTOS DE EPOCAS";"1";"2022-11"
"7";"573108";"ACESSORIO OCULOS GAMER OVER PRETO C/01 CROMUS";"PRODUTOS DE EPOCAS";"1";"2022-11"
"4";"572873";"ACESSORIO OCULOS SMACK C/01 CROMUS";"PRODUTOS DE EPOCAS";"1";"2022-11"
"7";"623278";"ACESSORIO TIARA C/LED GATINHA VINIL DOURADO C/01 CROMUS";"PRODUTOS DE EPOCAS";"1";"2022-11"
"7";"623339";"ACESSORIO TIARA C/VEU DE NOIVA C/ ROSAS C/01 CROMUS";"PRODUTOS DE EPOCAS";"1";"2022-11"
"4";"572897";"ACESSORIO TIARA LACO C/PAETE VERMELHO P CROMUS";"PRODUTOS DE EPOCAS";"1";"2022-11"
"5";"533478";"ACHOC EM PO NESCAU ACTGO 730G NESTLE";"BEBIDA";"2";"2022-11"
"4";"533478";"ACHOC EM PO NESCAU ACTGO 730G NESTLE";"BEBIDA";"2";"2022-11"
"7";"533478";"ACHOC EM PO NESCAU ACTGO 730G NESTLE";"BEBIDA";"3";"2022-11"
"1";"533478";"ACHOC EM PO NESCAU ACTGO 730G NESTLE";"BEBIDA";"7";"2022-11"
"7";"510202";"ACHOCOLATADO DOIS FRADES CACAU EM PO 70% 200G NESTLE";"MERCEARIA";"2";"2022-11"
"5";"555845";"ACHOCOLATADO EM PO 370G NESCAU ACT-GO NESTLE";"MERCEARIA";"13";"2022-11"
"1";"555845";"ACHOCOLATADO EM PO 370G NESCAU ACT-GO NESTLE";"MERCEARIA";"8";"2022-11"
"7";"555845";"ACHOCOLATADO EM PO 370G NESCAU ACT-GO NESTLE";"MERCEARIA";"5";"2022-11"
"4";"555845";"ACHOCOLATADO EM PO 370G NESCAU ACT-GO NESTLE";"MERCEARIA";"5";"2022-11"
