Real,Previsto
15.0,17.96
6.0,9.12
7.0,14.94
65.0,49.62
12.0,21.26
29.0,36.68
38.0,88.0
12.0,17.12
8.0,22.84
10.0,27.98
7.0,7.5
9.0,11.54
62.0,57.48
19.0,20.36
26.0,36.32
77.0,77.74
8594.0,7216.3
164.0,949.82
3.0,2.2
39.0,28.60746
637.0,626.68
78.0,165.66
2.0,6.79968
15.0,5.24
5.0,4.46
5.0,11.46
1.0,2.2
5.0,4.7
1.0,7.58
5.0,6.85
1.0,5.18
7.0,5.2
4.0,1.96
7.0,9.26
1.0,5.14
4.0,7.28
2.0,9.52
6.0,6.76
6.0,5.9
1.0,2.72
4.0,6.9
6.0,7.62
1.0,11.12
133.0,161.7
5.0,33.18
66.0,249.1
88.0,652.54
53.0,92.64
2.0,7.26
14.0,40.94
25.0,105.2
7.0,114.08
33.0,242.34
11.0,9.4
20.0,20.12
140.0,171.5
382.0,310.86
83.0,91.9
242.0,133.8
30.0,47.08
7.0,56.76
26.0,47.52
99.0,106.52
365.0,679.12
4.0,35.48
132.0,163.9
116.0,1941.56
7.0,20.98
6.0,7.62
4.0,10.74
3.0,6.2
2.0,8.5
5.0,3.24
58.0,245.86
107.0,188.86
41.0,79.08
45.0,41.1
128.0,136.18
130.0,132.32
101.0,185.1
95.0,195.08
94.0,187.92
7.0,18.34
248.0,259.68
175.0,174.14
2.0,3.76
1635.0,2514.96
1.0,5.463333333333333
1.0,103.74
13.0,37.8
1.0,3.213333333333333
16.0,23.24
45.0,46.72
361.0,613.42
46.0,134.92
17.0,19.1
60.0,184.36
4.0,40.68
12.0,51.56
46.0,46.16
30.0,47.48
4.0,19.86
7.0,27.68
8.0,14.18
113.0,99.22
132.0,122.92
135.0,190.92
8.0,8.02
135.0,121.96
100.0,103.64
12.0,17.6
12.0,14.88
13.0,16.94
104.0,881.08
95.0,381.98
91.0,52.48
9.0,16.7
18.0,33.68
4.0,6.0
70.0,114.1
7.0,4.14
4.0,12.12
5.0,3.18
13.0,22.02
13.0,7.82
30.0,44.8
61.0,92.04
5.0,3.546666666666667
397.0,250.48
11.0,7.1
11.0,6.78
4.0,2.26
2.0,3.97
4.0,125.8
12.0,47.5
3.0,11.5
2.0,6.2
7.0,15.72
28.0,23.06
7.0,37.64
11.0,25.94
10.0,6.5
7.0,7.28
21.0,15.28
8.0,10.72724
44.0,26.22
19.0,22.3
29.0,17.56
23.0,19.52
22.0,15.84
20.0,28.26
8.0,15.12
2.0,11.64
3.0,22.3
6.0,16.1
21.0,24.9
34.0,25.68
17.0,17.72
4.0,15.82
13.0,24.86
32.0,45.94
2.0,5.28
1.0,22.66
5.0,4.76
11.0,9.66
13.0,55.17470000000001
4.0,12.28
99.0,158.6
3.0,3.74
2.0,3.26
4.0,15.74
1.0,1.7566666666666666
5.0,8.60576
9.0,9.42
3.0,6.34
9.0,6.98
162.0,204.66
30.0,32.44746
15.0,12.6
100.0,91.56
0.0,314.24
1.0,9.48
28.0,36.46
17.0,6.0
35.0,27.56
1.0,4.68
5.0,4.24
82.0,119.16
33.0,15.12
9.0,32.86
109.0,92.48
10.0,33.26
50.0,103.54
5.0,7.36
11.0,12.86
324.0,530.52
57.0,42.16
93.0,68.54
11.0,17.24
13.0,20.26
9.0,15.56
164.0,79.16
4.0,10.7
3.0,4.14
31.0,12.74
1.0,2.86
63.0,166.88
8.0,6.64
3.0,28.94
5.0,3.9
34.0,28.71464
1.0,3.3896800000000002
2.0,2.923446666666666
8.0,5.56
8.0,4.9
7.0,4.54
8.0,11.66
2.0,1.4714285714285713
21.0,24.82
2.0,9.52
3.0,9.28
1.0,2.12
3.0,3.28
57.0,131.74
35.0,121.22
154.0,525.68
2.0,34.82
1.0,23.84
1.0,7.08
3.0,38.1
53.0,63.36
36.0,67.52
2.0,8.7
7.0,26.8
8.0,67.52
7.0,51.92
6.0,29.56402
1.0,12.554960000000001
52.0,95.04
310.0,235.62
178.0,371.38
27.0,59.60608
15.0,91.58
84.0,98.24
30.0,51.0
65.0,132.2
248.0,405.66
1.0,7.32
2.0,5.52
2.0,2.64
7.0,7.28724
3.0,6.0
11.0,12.84
9.0,47.34
14.0,75.24858000000003
1.0,3.4
1.0,2.34
58.0,110.0
32.0,344.94
5.0,10.98
4.0,11.44
