Data,DEPARTAMENTO,Qtd_Clean
2022-11-01,BALCAO DE DECORACAO,11296.0
2022-12-01,BALCAO DE DECORACAO,42931.0
2023-01-01,BALCAO DE DECORACAO,19689.0
2023-02-01,BALCAO DE DECORACAO,18022.0
2023-03-01,BALCAO DE DECORACAO,27803.0
2023-04-01,BALCAO DE DECORACAO,33358.0
2023-05-01,BALCAO DE DECORACAO,26163.0
2023-06-01,BALCAO DE DECORACAO,28870.0
2023-07-01,BALCAO DE DECORACAO,22019.0
2023-08-01,BALCAO DE DECORACAO,23492.0
2023-09-01,BALCAO DE DECORACAO,21975.0
2023-10-01,BALCAO DE DECORACAO,22789.0
2023-11-01,BALCAO DE DECORACAO,21579.0
2023-12-01,BALCAO DE DECORACAO,45638.0
2024-01-01,BALCAO DE DECORACAO,18692.0
2024-02-01,BALCAO DE DECORACAO,18810.0
2024-03-01,BALCAO DE DECORACAO,33569.0
2024-04-01,BALCAO DE DECORACAO,20854.0
2024-05-01,BALCAO DE DECORACAO,24447.0
2024-06-01,BALCAO DE DECORACAO,25892.0
