Data,DEPARTAMENTO,Qtd_Clean
2022-11-01,BOMBONIERE,128622.0
2022-12-01,BOMBONIERE,303486.0
2023-01-01,BOMBONIERE,185867.0
2023-02-01,BOMBONIERE,185348.0
2023-03-01,BOMBONIERE,253049.0
2023-04-01,BOMBONIERE,313719.0
2023-05-01,BOMBONIERE,210915.0
2023-06-01,BOMBONIERE,244612.0
2023-07-01,BOMBONIERE,232839.0
2023-08-01,BOMBONIERE,236011.0
2023-09-01,BOMBONIERE,234981.0
2023-10-01,BOMBONIERE,297469.0
2023-11-01,BOMBONIERE,204181.0
2023-12-01,BOMBONIERE,355879.0
2024-01-01,BOMBONIERE,189227.0
2024-02-01,BOMBONIERE,197795.0
2024-03-01,BOMBONIERE,351134.0
2024-04-01,BOMBONIERE,195284.0
2024-05-01,BOMBONIERE,227107.0
2024-06-01,BOMBONIERE,252767.0
