Data,DEPARTAMENTO,Qtd_Clean
2022-11-01,CONFEITARIA,48659.163
2022-12-01,CONFEITARIA,86489.012
2023-01-01,CONFEITARIA,41167.898
2023-02-01,CONFEITARIA,60284.998
2023-03-01,CONFEITARIA,78960.397
2023-04-01,CONFEITARIA,77433.936
2023-05-01,CONFEITARIA,55450.628
2023-06-01,CONFEITARIA,65555.378
2023-07-01,CONFEITARIA,72122.856
2023-08-01,CONFEITARIA,76622.638
2023-09-01,CONFEITARIA,76853.326
2023-10-01,CONFEITARIA,72064.232
2023-11-01,CONFEITARIA,69699.691
2023-12-01,CONFEITARIA,120364.708
2024-01-01,CONFEITARIA,62137.838
2024-02-01,CONFEITARIA,65727.818
2024-03-01,CONFEITARIA,118609.106
2024-04-01,CONFEITARIA,60685.855
2024-05-01,CONFEITARIA,65228.621
2024-06-01,CONFEITARIA,51578.031
