Data,DEPARTAMENTO,Qtd_Clean
2022-11-01,FESTA,54059.0
2022-12-01,FESTA,133708.0
2023-01-01,FESTA,77696.0
2023-02-01,FESTA,81010.0
2023-03-01,FESTA,111279.0
2023-04-01,FESTA,117513.0
2023-05-01,FESTA,100356.0
2023-06-01,FESTA,113920.0
2023-07-01,FESTA,97890.0
2023-08-01,FESTA,100642.0
2023-09-01,FESTA,104944.0
2023-10-01,FESTA,131008.0
2023-11-01,FESTA,94090.0
2023-12-01,FESTA,158089.0
2024-01-01,FESTA,84060.0
2024-02-01,FESTA,92854.0
2024-03-01,FESTA,141018.0
2024-04-01,FESTA,95419.0
2024-05-01,FESTA,104058.0
2024-06-01,FESTA,102215.0
