Data,DEPARTAMENTO,Qtd_Clean
2022-11-01,PRODUTOS DE EPOCAS,9217.0
2022-12-01,PRODUTOS DE EPOCAS,18518.0
2023-01-01,PRODUTOS DE EPOCAS,610.0
2023-02-01,PRODUTOS DE EPOCAS,18019.0
2023-03-01,PRODUTOS DE EPOCAS,46729.0
2023-04-01,PRODUTOS DE EPOCAS,62206.0
2023-05-01,PRODUTOS DE EPOCAS,3102.0
2023-06-01,PRODUTOS DE EPOCAS,19502.0
2023-07-01,PRODUTOS DE EPOCAS,6119.0
2023-08-01,PRODUTOS DE EPOCAS,715.0
2023-09-01,PRODUTOS DE EPOCAS,1404.0
2023-10-01,PRODUTOS DE EPOCAS,7671.0
2023-11-01,PRODUTOS DE EPOCAS,9298.0
2023-12-01,PRODUTOS DE EPOCAS,26345.0
2024-01-01,PRODUTOS DE EPOCAS,7342.0
2024-02-01,PRODUTOS DE EPOCAS,20355.0
2024-03-01,PRODUTOS DE EPOCAS,110242.0
2024-04-01,PRODUTOS DE EPOCAS,1358.0
2024-05-01,PRODUTOS DE EPOCAS,2276.0
2024-06-01,PRODUTOS DE EPOCAS,16145.0
