Data,DEPARTAMENTO,Qtd_Clean
2022-11-01,BALCAO DE DECORACAO,11296.0
2022-11-01,BEBIDA,5128.0
2022-11-01,BOMBONIERE,128622.0
2022-11-01,CONFEITARIA,48659.163
2022-11-01,DIET & LIGHT,2572.0
2022-11-01,FESTA,54059.0
2022-11-01,MERCEARIA,4281.0
2022-11-01,PRODUTOS DE EPOCAS,9217.0
2022-12-01,BALCAO DE DECORACAO,42931.0
2022-12-01,BEBIDA,12372.0
2022-12-01,BOMBONIERE,303486.0
2022-12-01,CONFEITARIA,86489.012
2022-12-01,DIET & LIGHT,3938.0
2022-12-01,FESTA,133708.0
2022-12-01,MERCEARIA,10341.0
2022-12-01,PRODUTOS DE EPOCAS,18518.0
2023-01-01,BALCAO DE DECORACAO,19689.0
2023-01-01,BEBIDA,7766.0
2023-01-01,BOMBONIERE,185867.0
2023-01-01,CONFEITARIA,41167.898
2023-01-01,DIET & LIGHT,4089.0
2023-01-01,FESTA,77696.0
2023-01-01,MERCEARIA,5917.0
2023-01-01,PRODUTOS DE EPOCAS,610.0
2023-02-01,BALCAO DE DECORACAO,18022.0
2023-02-01,BEBIDA,7201.0
2023-02-01,BOMBONIERE,185348.0
2023-02-01,CONFEITARIA,60284.998
2023-02-01,DIET & LIGHT,4980.0
2023-02-01,FESTA,81010.0
2023-02-01,MERCEARIA,4879.0
2023-02-01,PRODUTOS DE EPOCAS,18019.0
2023-03-01,BALCAO DE DECORACAO,27803.0
2023-03-01,BEBIDA,7687.0
2023-03-01,BOMBONIERE,253049.0
2023-03-01,CONFEITARIA,78960.397
2023-03-01,DIET & LIGHT,5316.0
2023-03-01,FESTA,111279.0
2023-03-01,MERCEARIA,6771.0
2023-03-01,PRODUTOS DE EPOCAS,46729.0
2023-04-01,BALCAO DE DECORACAO,33358.0
2023-04-01,BEBIDA,7743.0
2023-04-01,BOMBONIERE,313719.0
2023-04-01,CONFEITARIA,77433.936
2023-04-01,DIET & LIGHT,4870.0
2023-04-01,FESTA,117513.0
2023-04-01,MERCEARIA,6294.0
2023-04-01,PRODUTOS DE EPOCAS,62206.0
2023-05-01,BALCAO DE DECORACAO,26163.0
2023-05-01,BEBIDA,7245.0
2023-05-01,BOMBONIERE,210915.0
2023-05-01,CONFEITARIA,55450.628
2023-05-01,DIET & LIGHT,4598.0
2023-05-01,FESTA,100356.0
2023-05-01,MERCEARIA,7936.0
2023-05-01,PRODUTOS DE EPOCAS,3102.0
2023-06-01,BALCAO DE DECORACAO,28870.0
2023-06-01,BEBIDA,6596.0
2023-06-01,BOMBONIERE,244612.0
2023-06-01,CONFEITARIA,65555.378
2023-06-01,DIET & LIGHT,5415.0
2023-06-01,FESTA,113920.0
2023-06-01,MERCEARIA,16226.0
2023-06-01,PRODUTOS DE EPOCAS,19502.0
2023-07-01,BALCAO DE DECORACAO,22019.0
2023-07-01,BEBIDA,6620.0
2023-07-01,BOMBONIERE,232839.0
2023-07-01,CONFEITARIA,72122.856
2023-07-01,DIET & LIGHT,4792.0
2023-07-01,FESTA,97890.0
2023-07-01,MERCEARIA,6912.0
2023-07-01,PRODUTOS DE EPOCAS,6119.0
2023-08-01,BALCAO DE DECORACAO,23492.0
2023-08-01,BEBIDA,7458.0
2023-08-01,BOMBONIERE,236011.0
2023-08-01,CONFEITARIA,76622.638
2023-08-01,DIET & LIGHT,5232.0
2023-08-01,FESTA,100642.0
2023-08-01,MERCEARIA,7520.0
