Data,PRODUTO,Real,Linear Regression,Random Forest,Gradient Boosting
2024-01-01,LANCA CONFESTE ROSA 16G MUNDO BIZARRO,15.0,0.0,17.96,17.66365649221949
2024-01-01,LANCA CONFESTE CHA DE REVELACAO AZ 30CM MUNDO BIZARRO,6.0,0.0,9.12,17.26730392472384
2024-01-01,LANCA CONFESTE CHA DE REVELACAO RS 30CM MUNDO BIZARRO,7.0,0.0,14.94,19.591315285319446
2024-01-01,LANCA CONFESTE COLORIDO 30CM MUNDO BIZARRO,65.0,0.0,49.62,48.41920189098498
2024-01-01,LANCA CONFESTE COLORS AZUL 30CM MUNDO BIZARRO,12.0,0.0,21.26,25.16097024198941
2024-01-01,LARANJA KOKOTINHA 250ML FORS,29.0,0.0,36.68,30.50988441475976
2024-01-01,LANCA CONFESTE COLORS PRATA 30CM MUNDO BIZARRO,38.0,0.0,88.0,82.1772303885538
2024-01-01,LANCA CONFESTE CORACAO VRM 30CM MUNDO BIZARRO,12.0,0.0,17.12,25.16097024198941
2024-01-01,LANCA CONFESTE CORAÇÃO 15G MUNDO BIZARRO,8.0,0.0,22.84,13.874459069813273
2024-01-01,LANCA CONFESTE KIDS ADESIVOS CARROS MUNDO BIZARRO,10.0,0.0,27.98,25.16097024198941
2024-01-01,LANCA CONFESTE KIDS ADESIVOS PRINCESAS 8G MUNDO BIZARRO,7.0,0.0,7.5,17.26730392472384
2024-01-01,LANCA CONFESTE PETALAS 30CM MUNDO BIZARRO,9.0,0.0,11.54,17.26730392472384
2024-01-01,LANCA CONFESTE DOURADO COLORS 30CM MUNDO BIZARRO,62.0,0.0,57.48,118.23503226628344
2024-01-01,LAYS CLASSICA 70G ELMA CHIPS,19.0,0.0,20.36,41.50010215852305
2024-01-01,LAYS SOUR CREAM 70G ELMA CHIPS ,26.0,0.0,36.32,38.57715015463165
2024-01-01,LEITE CONDENSADO 395G EMBARE,77.0,0.0,77.74,66.1062800036081
2024-01-01,LEITE CONDENSADO 395G ITALAC,8594.0,6805.7535655673655,7216.3,8852.25857268255
2024-01-01,LEITE CONDENSADO 395G PIRACANJUBA,164.0,304.2424341085767,949.82,871.2229205444852
2024-01-01,LATINHA PLASTICA VERMELHA C/10 MIRANDINHA,3.0,0.0,2.2,17.26730392472384
2024-01-01,LEITE CONDENSADO SEMIDESNATADO 395G EMBARE,39.0,0.0,28.60746,42.30293207530322
2024-01-01,LEITE CONDENSADO INTEGRAL MOCA ABRE FACIL 395G NESTLE,637.0,233.83227799300732,626.68,631.9208159016963
2024-01-01,LEITE CONDENSADO MOCA 395G CAIXINHA NESTLE,78.0,0.0,165.66,265.1373563016335
2024-01-01,LATINHA PLASTICA AMARELO C/10 PCS,2.0,0.0,6.79968,17.26730392472384
2024-01-01,LATINHA PLASTICA BRANCO C/10 MIRANDINHA,15.0,0.0,5.24,17.26730392472384
2024-01-01,LATINHA PLASTICA LILAS C/10 MIRANDINHA,5.0,0.0,4.46,17.26730392472384
2024-01-01,LATINHA PLASTICA TRANSPARENTE C/10 MIRANDINHA,5.0,0.0,11.46,17.26730392472384
2024-01-01,LACO DE CETIM MARINHO 10MM PCT COM 50 LACO&CIA,1.0,0.0,2.2,17.26730392472384
2024-01-01,LACO DE CETIM ROSE 3MM C/100 LACO&CIA,5.0,0.0,4.7,17.26730392472384
2024-01-01,LACO DE CETIM UVA 10MM C/50 LACO&CIA,1.0,0.0,7.58,17.26730392472384
2024-01-01,LACO DE CETIM VERDE AGUA 10MM PCT COM 50 LACO&CIA,5.0,0.0,6.85,17.26730392472384
2024-01-01,LACO DE CETIM VERDE BANDEIRA 10MM PCT COM 50 LACO&CIA,1.0,0.0,5.18,17.26730392472384
2024-01-01,LACO DE CETIM VERDE BANDEIRA 3MM C/100 LACO&CIA,7.0,0.0,5.2,17.26730392472384
2024-01-01,LACO DE CETIM TURQUESA 3MM C/100 LACO&CIA,4.0,0.0,1.96,17.26730392472384
2024-01-01,LACO DE CETIM VERMELHO 10MM C/50 LACO&CIA,7.0,0.0,9.26,13.874459069813273
2024-01-01,LACO DE CETIM LARANJA 10MM C/50 LACO&CIA,1.0,0.0,5.14,17.26730392472384
2024-01-01,LACO DE CETIM MOSTARDA 10MM C/50 LACO&CIA,4.0,0.0,7.28,17.26730392472384
2024-01-01,LACO DE CETIM MOSTARDA 3MM C/100 LACO&CIA,2.0,0.0,9.52,17.26730392472384
2024-01-01,LACO DE CETIM PINK 3MM C/100 LACO&CIA,6.0,0.0,6.76,17.26730392472384
2024-01-01,LACO DE CETIM PRETO 10MM C/50 LACO&CIA,6.0,0.0,5.9,17.26730392472384
2024-01-01,LACO DE CETIM PRETO 3MM C/100 LACO&CIA,1.0,0.0,2.72,17.26730392472384
2024-01-01,LACO DE CETIM ROSA 3MM C/100 LACO&CIA,4.0,0.0,6.9,17.26730392472384
2024-01-01,LACO DE CETIM PINK 10MM PCT COM 50 LACO&CIA,6.0,0.0,7.62,17.26730392472384
2024-01-01,LACO DE CETIM VERMELHO 3MM C/100 LACO&CIA,1.0,0.0,11.12,17.26730392472384
2024-01-01,LACO FACIL 12X250MM UNIDADE,133.0,0.0,161.7,284.76716268331296
2024-01-01,LACO FACIL 12X250MM PEQ METAL,5.0,0.0,33.18,48.85603337049389
2024-01-01,LACO FACIL 18X390MM UNIDADE,66.0,31.315691495983856,249.1,533.4558092131881
2024-01-01,LACO FACIL 30X570MM UNIDADE,88.0,291.00342007492145,652.54,606.3220970372342
2024-01-01,LACO FACIL 50X850MM UNIDADE,53.0,0.0,92.64,244.27460565517188
2024-01-01,LACO FACIL GIGANTE ESPECIAL ONIX,2.0,0.0,7.26,17.26730392472384
2024-01-01,LACO FACIL GIGANTE ONIX,14.0,0.0,40.94,48.85603337049389
2024-01-01,LACO FACIL GRANDE ONIX,25.0,0.0,105.2,119.39533541647198
2024-01-01,LACO FACIL MEDIO ONIX,7.0,0.0,114.08,119.39533541647198
2024-01-01,LACO FACIL PP ONIX,33.0,6.955884210168534,242.34,260.75749664537466
2024-01-01,LACO FACIL TRADICIONAL 28X450MM REAL FRANCO,11.0,0.0,9.4,17.26730392472384
2024-01-01,MARSHMALLOW FOFS TWIST BRUXOLITO Q PINTA 220G FLORESTAL,20.0,0.0,20.12,22.616218097494187
2024-01-01,MARSHMALLOW TORCAO ROSA 250G FINI,140.0,0.0,171.5,167.72444932727882
2024-01-01,MARSHMALLOW TORCAO CB 250G FINI,382.0,47.110181530160304,310.86,462.3614371209201
2024-01-01,MARSHMALLOW TORCAO BRANCO 250G FINI,83.0,0.0,91.9,85.89882354210782
2024-01-01,MARSHMALLOW TORCAO AZUL 250G FINI,242.0,0.0,133.8,167.72444932727882
2024-01-01,MARSHMALLOW FOFS TUBE COLORIDO 220G FLORESTAL,30.0,0.0,47.08,28.401280742156327
2024-01-01,MARSHMALLOW FOFS TWIST DINOS 220G FLORESTAL,7.0,0.0,56.76,40.89832762205978
2024-01-01,MARSHMALLOW FOFS TWIST PRINCESS 220G FLORESTAL,26.0,0.0,47.52,56.85816427240609
2024-01-01,MARSHMALLOW MORANGO 250G FINI,99.0,0.0,106.52,65.33892436069668
2024-01-01,MARSHMALLOW RECH TORCAO  250G FINI,365.0,116.71190465812316,679.12,457.2375761140775
2024-01-01,MARSHMALLOW RECH TWIST PINTA LINGUA 220G DOCILE,4.0,0.0,35.48,24.940229458089792
2024-01-01,MARSHMALLOW RECHEADO AZUL/BRANCO 250G FINI,132.0,0.0,163.9,144.82387617877248
2024-01-01,MARSHMALLOW RECHEADO ROSA/BRANCO 250G FINI,116.0,4.30216200321189,1941.56,356.10767469769524
2024-01-01,MARSHMALLOW TORCAO 80G FINI,7.0,0.0,20.98,17.66365649221949
2024-01-01,MASSA DE PASTILHAGEM 500G ARCOLOR,6.0,0.0,7.62,17.26730392472384
2024-01-01,MEL EM SACHE 40G FAUNA E FLORA,4.0,0.0,10.74,17.66365649221949
2024-01-01,MEL SILVESTRE BISNAGA 250G BOM PRINCIPIO,3.0,0.0,6.2,17.26730392472384
2024-01-01,MASSA ELASTICA 500G ARCOLOR,2.0,0.0,8.5,17.26730392472384
2024-01-01,MASSA PARA FLORES 500G ARCOLOR,5.0,0.0,3.24,17.26730392472384
2024-01-01,MASTER 50G C/160 ZIM COLOR,58.0,57.12346712760865,245.86,209.91411961642365
2024-01-01,MASTER SORTIDO 100G C/80 ZIM COLOR,107.0,0.0,188.86,147.4792210931352
2024-01-01,MAXMALLOWS CORACAO MORANGO 250G DOCILE,41.0,0.0,79.08,79.95102374062537
